"Country","Year","Development_Status","Life_Expectancy","Adult_Mortality","Alcohol_Consumption","Hepatitis_B","Polio","Total_Expenditure","Diphtheria","HIV_AIDS","GDP_Per_Capita","Thinness_1_19_Years","Thinness_5_9_Years","Income_Composition_Of_Resources","Average_Years_of_schooling","Country_Code","Region","Mean_Male_Height_cm"
"Afghanistan",2015,"Developing",65,263,0.01,65,6,8.16,65,0.1,251.049712303354,17.2,17.3,0.479,10.1,"AFG","Asia",165.2558607
"Afghanistan",2014,"Developing",59.9,271,0.01,62,58,8.18,62,0.1,251.049712303354,17.5,17.5,0.476,10,"AFG","Asia",165.2701323
"Afghanistan",2013,"Developing",59.9,268,0.01,64,62,8.13,64,0.1,251.049712303354,17.7,17.7,0.47,9.9,"AFG","Asia",165.2841484
"Afghanistan",2012,"Developing",59.5,272,0.01,67,67,8.52,67,0.1,251.049712303354,17.9,18,0.463,9.8,"AFG","Asia",165.2981032
"Afghanistan",2011,"Developing",59.2,275,0.01,68,68,7.87,68,0.1,251.049712303354,18.2,18.2,0.454,9.5,"AFG","Asia",165.3120761
"Afghanistan",2010,"Developing",58.8,279,0.01,66,66,9.2,66,0.1,251.049712303354,18.4,18.4,0.448,9.2,"AFG","Asia",165.3261648
"Afghanistan",2009,"Developing",58.6,281,0.01,63,63,9.42,63,0.1,251.049712303354,18.6,18.7,0.434,8.9,"AFG","Asia",165.340645
"Afghanistan",2008,"Developing",58.1,287,0.03,64,64,8.33,64,0.1,251.049712303354,18.8,18.9,0.433,8.7,"AFG","Asia",165.3550563
"Afghanistan",2007,"Developing",57.5,295,0.02,63,63,6.73,63,0.1,251.049712303354,19,19.1,0.415,8.4,"AFG","Asia",165.3687054
"Afghanistan",2006,"Developing",57.3,295,0.03,64,58,7.43,58,0.1,251.049712303354,19.2,19.3,0.405,8.1,"AFG","Asia",165.3812397
"Afghanistan",2005,"Developing",57.3,291,0.02,66,58,8.7,58,0.1,251.049712303354,19.3,19.5,0.396,7.9,"AFG","Asia",165.3909148
"Afghanistan",2004,"Developing",57,293,0.02,67,5,8.79,5,0.1,251.049712303354,19.5,19.7,0.381,6.8,"AFG","Asia",165.3971222
"Afghanistan",2003,"Developing",56.7,295,0.01,65,41,8.82,41,0.1,251.049712303354,19.7,19.9,0.373,6.5,"AFG","Asia",165.3999634
"Afghanistan",2002,"Developing",56.2,271.43650478786,0.01,64,36,7.76,36,0.1,251.049712303354,19.9,2.2,0.341,6.2,"AFG","Asia",165.3993526
"Afghanistan",2001,"Developing",55.3,316,0.01,63,35,7.8,33,0.1,251.049712303354,2.1,2.4,0.34,5.9,"AFG","Asia",165.3959387
